,bioproject,sra_rec,sra_file_kind,sra_file_blob
34,PRJNA545410,8009995,read_2,"{""cluster"": ""public"", ""filename"": ""140_R2.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203180/140_R2.fastq.gz.1"", ""size"": ""24095497"", ""date"": ""2019-06-05 10:07:09"", ""md5"": ""f73ced44cf2dcc417c1db6d45a1e4088"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
35,PRJNA545410,8009995,sra_run,"{""cluster"": ""public"", ""filename"": ""SRR9203180"", ""url"": ""https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/008987/SRR9203180"", ""size"": ""51803151"", ""date"": ""2019-06-05 10:07:19"", ""md5"": ""65c084d2c61a4bcff7c30a60f16b68ef"", ""semantic_name"": ""run"", ""supertype"": ""Primary ETL"", ""sratoolkit"": ""1""}"
36,PRJNA545410,8009994,read_1,"{""cluster"": ""public"", ""filename"": ""126_R1.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203181/126_R1.fastq.gz.1"", ""size"": ""12823085"", ""date"": ""2019-06-05 10:07:07"", ""md5"": ""337f9d89b486cc38d78773bddd842725"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
37,PRJNA545410,8009994,read_2,"{""cluster"": ""public"", ""filename"": ""126_R2.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203181/126_R2.fastq.gz.1"", ""size"": ""15616384"", ""date"": ""2019-06-05 10:07:07"", ""md5"": ""e5693a48141f0f4e0cfd5ac3e2d2d6d5"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
38,PRJNA545410,8009994,sra_run,"{""cluster"": ""public"", ""filename"": ""SRR9203181"", ""url"": ""https://sra-download.ncbi.nlm.nih.gov/traces/sra66/SRR/008987/SRR9203181"", ""size"": ""35334161"", ""date"": ""2019-06-05 10:07:15"", ""md5"": ""fe68acaef037e580698bd51cd3c74344"", ""semantic_name"": ""run"", ""supertype"": ""Primary ETL"", ""sratoolkit"": ""1""}"
39,PRJNA545410,8009993,read_1,"{""cluster"": ""public"", ""filename"": ""125_R1.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203182/125_R1.fastq.gz.1"", ""size"": ""11431410"", ""date"": ""2019-06-05 10:07:10"", ""md5"": ""4ea8989fa197af13c4910bde3c222d4b"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
40,PRJNA545410,8009993,read_2,"{""cluster"": ""public"", ""filename"": ""125_R2.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203182/125_R2.fastq.gz.1"", ""size"": ""14325448"", ""date"": ""2019-06-05 10:07:09"", ""md5"": ""ae35949ba28dd17776e4c35e5412523c"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
41,PRJNA545410,8009993,sra_run,"{""cluster"": ""public"", ""filename"": ""SRR9203182"", ""url"": ""https://sra-download.ncbi.nlm.nih.gov/traces/sra38/SRR/008987/SRR9203182"", ""size"": ""31203450"", ""date"": ""2019-06-05 10:07:17"", ""md5"": ""ee32d771526299b36f170ab611571a03"", ""semantic_name"": ""run"", ""supertype"": ""Primary ETL"", ""sratoolkit"": ""1""}"
42,PRJNA545410,8009992,read_1,"{""cluster"": ""public"", ""filename"": ""128_R1.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203183/128_R1.fastq.gz.1"", ""size"": ""17834745"", ""date"": ""2019-06-05 10:07:23"", ""md5"": ""8e506121c2852c1dbb28def3ef6fa568"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
43,PRJNA545410,8009992,read_2,"{""cluster"": ""public"", ""filename"": ""128_R2.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203183/128_R2.fastq.gz.1"", ""size"": ""21090466"", ""date"": ""2019-06-05 10:07:22"", ""md5"": ""7d994e995d8141030ae34806b97a5b54"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
44,PRJNA545410,8009992,sra_run,"{""cluster"": ""public"", ""filename"": ""SRR9203183"", ""url"": ""https://sra-download.ncbi.nlm.nih.gov/traces/sra25/SRR/008987/SRR9203183"", ""size"": ""44275679"", ""date"": ""2019-06-05 10:07:32"", ""md5"": ""3ecf641e94a98eddfed5e7509d3e634f"", ""semantic_name"": ""run"", ""supertype"": ""Primary ETL"", ""sratoolkit"": ""1""}"
45,PRJNA545410,8009991,read_1,"{""cluster"": ""public"", ""filename"": ""127_R1.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203184/127_R1.fastq.gz.1"", ""size"": ""17952455"", ""date"": ""2019-06-05 10:07:11"", ""md5"": ""ca47dd01776855cb392157974648e166"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
46,PRJNA545410,8009991,read_2,"{""cluster"": ""public"", ""filename"": ""127_R2.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203184/127_R2.fastq.gz.1"", ""size"": ""21035534"", ""date"": ""2019-06-05 10:07:11"", ""md5"": ""73aaa1e5337d126cc721af29aef8f18b"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
47,PRJNA545410,8009991,sra_run,"{""cluster"": ""public"", ""filename"": ""SRR9203184"", ""url"": ""https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/008987/SRR9203184"", ""size"": ""45872318"", ""date"": ""2019-06-05 10:07:18"", ""md5"": ""a824a21bda98f010b46c61b440693ff6"", ""semantic_name"": ""run"", ""supertype"": ""Primary ETL"", ""sratoolkit"": ""1""}"
48,PRJNA545410,8009990,read_1,"{""cluster"": ""public"", ""filename"": ""130_R1.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203185/130_R1.fastq.gz.1"", ""size"": ""20129457"", ""date"": ""2019-06-05 10:07:16"", ""md5"": ""4285482cc46723ab968efc697d286b35"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
49,PRJNA545410,8009990,read_2,"{""cluster"": ""public"", ""filename"": ""130_R2.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203185/130_R2.fastq.gz.1"", ""size"": ""23914820"", ""date"": ""2019-06-05 10:07:15"", ""md5"": ""5266611ef22c6814c72049a35c70dca9"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
50,PRJNA545410,8009990,sra_run,"{""cluster"": ""public"", ""filename"": ""SRR9203185"", ""url"": ""https://sra-download.ncbi.nlm.nih.gov/traces/sra54/SRR/008987/SRR9203185"", ""size"": ""49527735"", ""date"": ""2019-06-05 10:07:24"", ""md5"": ""430abeca57d94452c4695640573595fb"", ""semantic_name"": ""run"", ""supertype"": ""Primary ETL"", ""sratoolkit"": ""1""}"
51,PRJNA545410,8009989,read_1,"{""cluster"": ""public"", ""filename"": ""129_R1.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203186/129_R1.fastq.gz.1"", ""size"": ""18335055"", ""date"": ""2019-06-05 10:07:16"", ""md5"": ""e613779e731aa80cd4f1842dbffffd03"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
52,PRJNA545410,8009989,read_2,"{""cluster"": ""public"", ""filename"": ""129_R2.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203186/129_R2.fastq.gz.1"", ""size"": ""22053266"", ""date"": ""2019-06-05 10:07:17"", ""md5"": ""2270fb3da95fdb1ecd3ba49c606a2bbd"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
53,PRJNA545410,8009989,sra_run,"{""cluster"": ""public"", ""filename"": ""SRR9203186"", ""url"": ""https://sra-download.ncbi.nlm.nih.gov/traces/sra39/SRR/008987/SRR9203186"", ""size"": ""48220418"", ""date"": ""2019-06-05 10:07:25"", ""md5"": ""c639b4ad11789e2292f8cec546a25e1e"", ""semantic_name"": ""run"", ""supertype"": ""Primary ETL"", ""sratoolkit"": ""1""}"
54,PRJNA545410,8009988,read_1,"{""cluster"": ""public"", ""filename"": ""132_R1.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203187/132_R1.fastq.gz.1"", ""size"": ""21031885"", ""date"": ""2019-06-05 10:07:26"", ""md5"": ""38e76a053d6eef841d164788be45410c"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
55,PRJNA545410,8009988,read_2,"{""cluster"": ""public"", ""filename"": ""132_R2.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203187/132_R2.fastq.gz.1"", ""size"": ""24371164"", ""date"": ""2019-06-05 10:07:27"", ""md5"": ""834cf251d1c3a17c0424275cdb8d068c"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
56,PRJNA545410,8009988,sra_run,"{""cluster"": ""public"", ""filename"": ""SRR9203187"", ""url"": ""https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR9203187/SRR9203187.1"", ""size"": ""51828470"", ""date"": ""2019-06-05 10:07:35"", ""md5"": ""2febc3107c499ef6df358cfdc128dad0"", ""semantic_name"": ""run"", ""supertype"": ""Primary ETL"", ""sratoolkit"": ""1""}"
57,PRJNA545410,8009987,read_1,"{""cluster"": ""public"", ""filename"": ""131_R1.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203188/131_R1.fastq.gz.1"", ""size"": ""16807185"", ""date"": ""2019-06-05 10:07:30"", ""md5"": ""d1d08b939368fd4f06a49b4d2e4eb3ff"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
58,PRJNA545410,8009987,read_2,"{""cluster"": ""public"", ""filename"": ""131_R2.fastq.gz"", ""url"": ""https://sra-pub-src-1.s3.amazonaws.com/SRR9203188/131_R2.fastq.gz.1"", ""size"": ""21511011"", ""date"": ""2019-06-05 10:07:29"", ""md5"": ""c7299a44fba28a3d570ad72eafb4f5ad"", ""semantic_name"": ""fastq"", ""supertype"": ""Original"", ""sratoolkit"": ""0""}"
59,PRJNA545410,8009987,sra_run,"{""cluster"": ""public"", ""filename"": ""SRR9203188"", ""url"": ""https://sra-download.ncbi.nlm.nih.gov/traces/sra38/SRR/008987/SRR9203188"", ""size"": ""45705460"", ""date"": ""2019-06-05 10:07:40"", ""md5"": ""ccb5f9626083f5ac4e5c70768d275227"", ""semantic_name"": ""run"", ""supertype"": ""Primary ETL"", ""sratoolkit"": ""1""}"
